Max_Depth,Acc_Self_Train,Acc_SckLn_Train,Acc_Self_Test,Acc_SckLn_Test
1,76.81%,76.81%,73.83%,73.83%
2,82.09%,82.09%,81.47%,81.47%
3,83.79%,83.79%,81.61%,81.47%
4,85.67%,85.67%,84.3%,84.3%
5,87.84%,87.84%,82.46%,82.32%
6,90.86%,90.76%,83.17%,83.59%
7,92.55%,92.46%,84.3%,84.72%
8,93.31%,93.31%,84.44%,84.58%
9,94.72%,94.63%,84.02%,84.87%
10,95.76%,95.76%,84.72%,84.44%
11,96.89%,96.89%,82.74%,82.89%
12,97.83%,97.93%,83.59%,83.17%
13,98.3%,98.4%,83.45%,83.73%
14,98.87%,98.77%,83.31%,84.16%
15,99.25%,99.34%,83.31%,83.17%
16,99.53%,99.43%,83.59%,83.88%
17,99.62%,99.53%,83.59%,83.45%
18,99.72%,99.72%,83.73%,84.3%
19,99.81%,99.72%,83.73%,83.73%
20,99.91%,99.81%,83.88%,83.59%
21,100.0%,100.0%,83.88%,84.16%
22,100.0%,100.0%,83.88%,84.02%
